order_id,customer_id,age,city,product_category,payment_method,order_value,discount,delivery_days,is_returned
1,1102,59,Mumbai,Sports,UPI,883.18,0.16,5,0
2,1435,59,Delhi,Clothing,Card,5904.88,0.25,6,1
3,1860,53,Chennai,Electronics,Wallet,15415.27,0.13,6,0
4,1270,37,Mumbai,Clothing,Card,4264.38,0.02,6,0
5,1106,21,Chennai,Electronics,Wallet,14301.33,0.17,8,0
6,1071,24,Delhi,Clothing,UPI,11679.64,0.05,4,0
7,1700,18,Bangalore,Electronics,UPI,3602.77,0.29,8,0
8,1020,61,Delhi,Electronics,NetBanking,5380.17,0.16,9,0
9,1614,62,Hyderabad,Home,Wallet,10026.81,0.17,4,0
10,1121,59,Chennai,Electronics,Card,8483.82,0.27,1,0
11,1466,64,Bangalore,Electronics,UPI,15615.56,0.19,3,0
12,1214,30,Chennai,Home,Wallet,14741.21,0.09,1,0
13,1330,39,Chennai,Beauty,Card,11576.58,0.09,7,0
14,1458,38,Mumbai,Beauty,Wallet,16481.04,0.15,1,1
15,1087,39,Hyderabad,Home,Card,11340.86,0.26,4,0
16,1372,45,Chennai,Sports,Card,19294.91,0.24,1,0
17,1099,26,Delhi,Electronics,Card,4501.04,0.29,2,0
18,1871,43,Delhi,Electronics,Card,14339.81,0.02,1,1
19,1663,26,Mumbai,Home,Wallet,7524.89,0.08,5,0
20,1130,32,Hyderabad,Home,Wallet,5723.53,0.02,7,0
21,1661,27,Hyderabad,Sports,NetBanking,3771.67,0.23,3,0
22,1308,41,Delhi,Beauty,Wallet,11139.57,0.04,8,0
23,1769,59,Bangalore,Clothing,Wallet,4466.29,0.03,5,0
24,1343,25,Mumbai,Beauty,NetBanking,4166.95,0.17,5,0
25,1491,41,Mumbai,Electronics,Wallet,19812.53,0.12,5,1
26,1413,33,Delhi,Home,Card,16074.6,0.21,8,0
27,1805,43,Delhi,Sports,UPI,15015.88,0.15,2,1
28,1385,44,Bangalore,Beauty,UPI,15922.4,0.13,2,1
29,1191,54,Bangalore,Sports,NetBanking,19384.67,0.13,8,0
30,1955,21,Hyderabad,Beauty,Wallet,11550.88,0.26,9,0
31,1276,41,Mumbai,Electronics,Wallet,4560.83,0.12,2,0
32,1160,36,Mumbai,Clothing,NetBanking,17271.75,0.1,4,1
33,1459,53,Delhi,Sports,UPI,14906.07,0.1,8,0
34,1313,56,Hyderabad,Sports,Card,8403.3,0.06,2,0
